Language,Whisper Tiny,Whisper Base,Whisper Small,Whisper Medium,Whisper Large,Whisper Large-v2
Arabic,90.9,84.4,66.4,60.3,56.0,53.8
Bulgarian,79.3,68.1,44.8,26.7,24.1,19.9
Bengali,104.1,103.7,118.6,124.7,106.0,103.4
Catalan,51.0,39.9,23.8,16.4,15.3,14.1
Czech,79.7,63.1,34.1,18.8,17.1,13.5
Welsh,101.8,93.8,65.4,43.6,40.3,34.2
Danish,77.2,57.5,32.1,19.3,18.3,14.4
German,34.5,24.5,13.0,8.5,7.7,6.4
Greek,61.9,51.5,31.7,20.0,18.3,16.0
English,28.8,21.9,14.5,11.2,10.1,9.4
Spanish,30.3,19.6,10.3,6.9,6.4,5.6
Estonian,102.1,88.1,67.2,45.6,41.4,35.1
Persian,120.3,99.0,71.9,49.9,44.8,39.4
Finnish,68.5,52.9,30.5,18.8,17.0,14.4
French,49.7,37.3,22.7,16.0,14.7,13.9
Hindi,108.3,106.5,43.6,31.5,25.0,21.9
Hungarian,87.0,71.9,44.4,26.9,23.5,19.7
Indonesian,49.6,36.1,18.4,11.6,10.6,8.5
Italian,44.5,30.5,16.0,9.4,8.1,7.1
Japanese,36.1,24.2,14.0,10.5,9.4,9.1
Lithuanian,103.5,91.3,72.8,49.4,43.9,35.2
Latvian,87.8,78.0,54.6,37.2,34.8,25.5
Malayalam,102.7,122.9,104.8,137.8,107.1,103.2
Mongolian,123.0,137.0,225.8,113.4,117.4,128.4
Dutch,43.6,29.5,14.2,8.0,7.1,5.8
Polish,45.3,32.8,16.9,10.1,9.0,7.6
Portuguese,35.2,23.7,12.5,8.1,7.1,6.3
Romanian,68.2,55.9,33.2,21.5,19.8,15.8
Russian,40.6,28.8,15.0,9.3,8.2,7.1
Slovak,104.0,87.2,60.4,42.0,37.9,31.9
Slovenian,82.0,70.3,45.5,29.8,25.1,20.6
Serbian,106.1,103.0,101.3,85.6,87.4,70.5
Swedish,58.2,42.4,22.1,13.7,12.4,10.6
Tamil,105.7,49.5,28.7,19.6,17.6,16.1
Thai,55.9,32.1,18.1,10.5,8.8,8.0
Turkish,53.6,38.6,23.7,17.7,16.6,14.5
Urdu,74.7,58.6,39.1,29.9,28.1,24.2
Vietnamese,69.3,51.6,33.3,24.4,19.9,18.2
Chinese,52.4,44.9,29.4,23.2,29.1,26.8 